,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
2331,2012,80.3731707317,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
2332,2013,80.7219512195,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
2333,2014,81.1219512195,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
2334,2015,81.1243902439,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
2335,2000,76.6892682927,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2336,2001,77.0668292683,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2337,2002,77.7604878049,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2338,2003,78.0712195122,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2339,2004,78.1758536585,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2340,2005,78.296097561,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2341,2006,78.4163414634,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2342,2007,78.4258536585,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2343,2008,77.9629268293,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2344,2009,78.191,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2345,2010,78.419097561,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2346,2011,78.6406585366,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2347,2012,78.8475853659,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2348,2013,79.0343414634,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2349,2014,79.2024634146,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2350,2015,79.3534878049,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
2351,2000,77.467,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2352,2001,77.612,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2353,2002,77.762,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2354,2003,77.919,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2355,2004,78.083,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2356,2005,78.252,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2357,2006,78.425,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2358,2007,78.601,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2359,2008,78.775,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2360,2009,78.945,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2361,2010,79.108,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2362,2011,79.26,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2363,2012,79.399,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2364,2013,79.527,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2365,2014,79.646,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2366,2015,79.758,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
2367,2000,71.1634146341,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2368,2001,71.1609756098,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2369,2002,71.0097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2370,2003,71.3097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2371,2004,71.5609756098,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2372,2005,71.912195122,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2373,2006,72.1634146341,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2374,2007,72.5658536585,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2375,2008,72.5658536585,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2376,2009,73.3097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2377,2010,73.4585365854,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2378,2011,74.4097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2379,2012,74.412195122,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2380,2013,75.0634146341,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2381,2014,74.9097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2382,2015,74.912195122,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
2383,2000,65.4836585366,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2384,2001,65.3834146341,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2385,2002,65.1287804878,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2386,2003,65.0275609756,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2387,2004,65.4709756098,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2388,2005,65.5297560976,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2389,2006,66.7275609756,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2390,2007,67.5868292683,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2391,2008,67.9492682927,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2392,2009,68.6846341463,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2393,2010,68.8412195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2394,2011,69.683902439,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2395,2012,70.072195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2396,2013,70.5787804878,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2397,2014,70.7436585366,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2398,2015,71.1834146341,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
2399,2000,48.649,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2400,2001,49.936,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2401,2002,50.987,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2402,2003,52.178,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2403,2004,53.595,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2404,2005,55.254,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2405,2006,57.083,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2406,2007,58.915,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2407,2008,60.612,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2408,2009,62.129,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2409,2010,63.433,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2410,2011,64.523,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2411,2012,65.438,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2412,2013,66.219,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2413,2014,66.884,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2414,2015,67.45,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
2415,2000,68.748,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2416,2001,69.103,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2417,2002,69.451,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2418,2003,69.781,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2419,2004,70.089,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2420,2005,70.374,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2421,2006,70.642,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2422,2007,70.901,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2423,2008,71.158,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2424,2009,71.412,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2425,2010,71.663,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2426,2011,71.906,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2427,2012,72.136,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2428,2013,72.351,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2429,2014,72.549,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2430,2015,72.73,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
2431,2012,85.4170731707,SP.DYN.LE00.IN,SMR,San Marino,Europe & Central Asia,High income,Not classified
2432,2000,61.365,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2433,2001,62.017,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2434,2002,62.687,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2435,2003,63.359,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2436,2004,64.02,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2437,2005,64.659,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2438,2006,65.27,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2439,2007,65.854,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2440,2008,66.412,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2441,2009,66.938,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2442,2010,67.43,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2443,2011,67.885,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2444,2012,68.306,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2445,2013,68.695,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2446,2014,69.052,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2447,2015,69.377,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
2448,2000,72.561,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2449,2001,72.759,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2450,2002,72.92,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2451,2003,73.051,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2452,2004,73.159,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2453,2005,73.256,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2454,2006,73.355,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2455,2007,73.467,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2456,2008,73.598,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2457,2009,73.75,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2458,2010,73.917,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2459,2011,74.089,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2460,2012,74.254,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2461,2013,74.402,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2462,2014,74.533,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2463,2015,74.651,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
2464,2000,57.787,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2465,2001,58.177,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2466,2002,58.675,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2467,2003,59.259,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2468,2004,59.912,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2469,2005,60.62,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2470,2006,61.365,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2471,2007,62.126,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2472,2008,62.88,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2473,2009,63.607,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2474,2010,64.284,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2475,2011,64.898,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2476,2012,65.448,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2477,2013,65.939,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2478,2014,66.37,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2479,2015,66.747,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
2480,2000,71.5829268293,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2481,2001,72.2341463415,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2482,2002,72.2853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2483,2003,72.4365853659,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2484,2004,72.6829268293,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2485,2005,72.8341463415,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2486,2006,73.3853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2487,2007,73.6317073171,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2488,2008,73.8853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2489,2009,73.9853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2490,2010,74.3365853659,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2491,2011,74.5365853659,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2492,2012,74.8365853659,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2493,2013,75.1853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2494,2014,75.3365853659,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2495,2015,75.287804878,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
2496,2000,72.7780487805,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2497,2001,73.2536585366,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2498,2002,71.087804878,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2499,2003,71.0292682927,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2500,2004,72.6609756098,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2501,2005,72.1317073171,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2502,2006,72.2170731707,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2503,2007,73.143902439,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2504,2008,73.1634146341,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2505,2009,73.0829268293,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2506,2010,73.1975609756,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2507,2011,72.7243902439,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2508,2012,74.2756097561,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2509,2013,73.1195121951,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2510,2014,73.2292682927,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2511,2015,74.2951219512,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
2512,2000,39.441,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2513,2001,40.369,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2514,2002,41.376,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2515,2003,42.419,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2516,2004,43.467,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2517,2005,44.502,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2518,2006,45.517,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2519,2007,46.52,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2520,2008,47.508,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2521,2009,48.468,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2522,2010,49.382,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2523,2011,50.234,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2524,2012,51.018,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2525,2013,51.731,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2526,2014,52.372,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2527,2015,52.941,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
2528,2000,77.9512195122,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2529,2001,78.2512195122,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2530,2002,78.5512195122,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2531,2003,79.0390243902,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2532,2004,79.4902439024,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2533,2005,79.9902439024,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2534,2006,80.1414634146,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2535,2007,80.4414634146,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2536,2008,80.7902439024,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2537,2009,81.2414634146,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2538,2010,81.5414634146,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2539,2011,81.743902439,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2540,2012,81.9951219512,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2541,2013,82.2463414634,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2542,2014,82.4951219512,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2543,2015,82.743902439,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
2544,2007,74.543902439,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2545,2008,74.5365853659,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2546,2009,75.587804878,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2547,2012,73.0536585366,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2548,2014,77.0682926829,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2549,2015,77.2195121951,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
2550,2000,73.0512195122,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2551,2001,73.4024390244,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2552,2002,73.6048780488,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2553,2003,73.6048780488,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2554,2004,73.9585365854,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2555,2005,73.9048780488,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2556,2006,74.2048780488,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2557,2007,74.2073170732,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2558,2008,74.7048780488,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2559,2009,74.9097560976,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2560,2010,75.112195122,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2561,2011,75.9585365854,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2562,2012,76.1097560976,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2563,2013,76.412195122,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2564,2014,76.812195122,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2565,2015,76.5634146341,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
2566,2000,75.412195122,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2567,2001,75.7585365854,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2568,2002,76.0073170732,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2569,2003,76.8585365854,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2570,2004,77.2073170732,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2571,2005,77.612195122,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2572,2006,78.0865853659,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2573,2007,78.5609756098,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2574,2008,78.7658536585,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2575,2009,78.9707317073,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
2576,2010,79.4219512195,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
